text,label
"When guys wear boxers, they look like little boys.",1
not asking just tempting to see if he goes for the bait.,1
most -14feb 25th dec and 15th june  least-april and jan,1
Is it too difficult to say GOOD BYE to somebody who treats you like garbage??,0
busting his balls and his friends balls.,1
do you just want to be around him always yes good.,0
but she ran off and wont talk to me--what should i do????,0
THIS WOMAN WILL TAKE YOUR MONEY AND LEAVE YOU HIGH AND DRY IN DEBT UP TO YOUR EYEBALLS.,0
"as a girl, I'm gonna say it's pretty hard for me.",0
2 years been married for 14 years now & getting stronger.,0
I don't mean with war either.,0
i want him back but i dont know what 2 do,1
Do what you did in the past.,0
ya the only way he is going to know is tell him.,1
It sounds like she's not interested in working things out.,1
"if 2 guys are happy together, or if 2 women are happy together, then let them get married.",0
"josie, even if you tried to except him, hell never change my boyfriend is the same way.",1
being lovely from all people like how i love him,0
"maybe if theyre lucky enough, but i dont think they do.",1
He came back down..and he wants me back!!,0
Cuz I can sure see myself in your pants!,0
"When I have sex with my wife, it's great...too great.",0
Only if you don't do it again the next day.,1
You just can not kiss up to his every need.,1
guys are afraid of being made a joke of and turned down,1
Do NOTHING....sure that would surprise her.,0
whats the point of going out or getting married after you'v been hert.,0
Then ask your self how old is he?,1
um.... let's see about this can u find me?,0
if your 13 and you havent found your true love dont worry you have plenty of time.,1
"Start flirting, and be in control of every step u take ahead in this process...Best of luck!",0
its his job to make your life hell.,1
ask him if he will pray with you for guidance.,1
"Most of them make it obvious so if it looks like he likes you, he probably does..",0
u just have 2 trust in him if u really like him.,0
its very important to know this first.,1
of course because having a full moon in sight without licking honey seems to be absurd,0
you have to kno what there into for ins.,0
and find a new love or a hobbie you knw mingle,1
Going from guy to guy until he finally pops your cherry!!,1
if you guys really love each other everything is going to be alright.,1
i dont like to quit or to funny guys!,1
You win some and you lose some.,0
maybe women aren't your thing.... :)    ;),1
I waited for him to make the move (which was excruciating) but now we are married with two children!,1
Everybody does do it but I guess its just women being women.,1
Think of things she has mentioned.,0
i do everything for my bf and i get nothing in return,1
HOME PLATE IF YOU'RE TALKING ABOUT BASEBALL.,0
or what ever else you feel.sex is a bueatiful thing so be sure to enjoy it.,0
SO EVERYONES HAPPY AND LOVING IT!!,0
E. that you are now sick?,0
Just do what your heart tells you at least your real about it to her,1
Don't try to hook up with somebody on the internet!,0
(I LOVE YOU SO MUCH HON),1
"well, i play the drumset, but i'm not hot!",0
And probably sharing the same bed with him.,0
like it help my husband win me back.,0
and it was for me so if you get a little disoppointed you should know why.,1
that's what i call a basket-ful o' goodies =) lol,0
"need to decide who's more important, ur boyfriend or ur friend/roommate..",1
like get a girlfriend and paste the picture of both of u on line or ignore her.,1
if he's being him true self and you're being your true self and you're drawn together still... that's love.,1
That's the same thing I'm going threw with my wife,1
"hand bag,makeup,shoes or anything that she really dream about it.",0
"remember, in the end, its just you.",1
I see this guy every day!,0
I THINK IT IS WEIRD THOUGH,1
Could you be just friends and hang out with lots of people?,0
you want to be able to play.,1
There maybe lots of reasons why dad doesnt come home as often.,0
IM CURRENTLY 22 DATING A 31 YEAR OLD MAN.,1
this guy i like said he knows what im hinting what dose that meen ???,1
Ah - now THAT's the question!,0
got drunk and had sex with his daughters.,0
over him but life gos on and so will you.,0
go and show interest and ask her out,0
"Doesn't knock my friends, parents, siblings.",0
u need just lord himself and god in person!1 look 4 signs son of a mother *beep*!!!,1
-- says the 14 year old.,1
"well, dat depends...if yall hav a really gud relationship worth jepordizin or not!",0
Go to a strip club and/or get a hooker.,1
if he's not calling anymore & things like that.,1
then u discuss the matter later,0
^-^oh and if u dont u cango wit my friend not me!,0
"now were just friends, but i still like hima nd i think he likes me.",1
or put an azo pill in her soda to make her pee orange.,1
YOU NEED TO HAVE A TALK TO SEE WHATS THE PROBLEM AND IF NOTHING GETS RESOLVE.,0
"don't know, mine was about 7th-8th grade",0
And you can't keep it inside anymore.,0
Start acting like you could care less...drives women crazy.,0
Have u every asked yourself do u really like this new guy or do u just wanna get revenge.,0
i look just like my avatar and i have a 6 pack.,0
think if you really love him/her or not and then just tell him/her,1
To win one you have to get to know her...,1
"If you don't, you won't know what your missing.",1
He sounds like he would be a lucky guy to have you!,0
THEN SHE WILL MOVE ON TO THE NEXT BLINDED IDIOT MAN.,1
i have the same problem with this one boy named chris woody.,1
Do I accept them back & take someone else.,0
we have one financial crisis after another.,0
Last night his parents brought up that they give him permission to move out with me!,1
"Damn... now if only I could take my own advice, lol!",0
i got real diomond earings and he made me dinner,0
get over it and find someone better.,1
"men r afraid of strong and independant women cuz they think we'll take more control of them, i guess.",1
You ask him to leave his wife and he picks on you?,0
"Harder, softer.... every woman is different so you'd have to ask her exactly what she wants you to do.",0
"Haha, I have never used that excuse, that's pretty lame.",0
"My boyfriend wanted to have a baby and get married, but changed his mind... too late.",1
:) Best of luck to you.,0
"If they dont fight at all, dont worry about it.",1
Stuff like that can get someone hurt.,0
Not if you want to really enjoy it.,0
"be honest, don't lie, explain why it is over.",1
but before that big commitment i have to experiment my choices.,1
and if he disagress juz b his friend!,1
"if theres a second date, thats a good sign",1
cant save a life with words.,1
reach for his crotch im preety sure hell respond let me know if not:),0
mail me i ll tell u exact answer....,0
yeah but I think its really hard,1
THIS WILL SHOW HER THAT YOU'RE NOT IN A RUSH.,0
"don't even try, or even go there.",0
i mean show to him a good atittude!!,1
theres not a whole lot you really can do.,1
Because most bad boys put up pretences and lie a lot and unfurtunately girls love such.,1
Like the word slacks....wonder if a guy can wear a just a slack?,1
If you need to use some lube (like ky) or something.,1
"Old enough to know what true love is, and mature enough to not f'k it up.",0
Also very important DONT LISTEN TO ANYONE ELSE'S SUGGESTIONS; THIS IS YOUR LIFE.,1
Because girls are more emotional and get alot of their think from early on.,0
God provides lots of good things!,0
I tell him no one is ever ready.,0
how can i know his nature & how can i know dat if he really loves me.,0
Someone who does not 'need' me.,1
She doesn't need friends like that...,1
Read some men's fashion magazines for tips.,1
look your best and go out in the world.,0
Things that make you say                              HUMMMMMM!!!!,0
Ok first things first...   What Instatn Messenger are we talking about here?,1
Sunshine's on the right track....so pick her as best if it comes down to she or I.,0
"That just cracks me up... thanks man, I needed that.",0
girl i would say get use to it.,1
And my buddy didn't kick my ass either because he was dating my sister.,0
Guys just think they can get away with it.,0
I feel really sorry for you.,1
Just pray and give it all to God...He can comfort you just give it all to the lord!!!,1
"If you dont feel comfortable with him b/c he's a different race, I wouldn't give it a shot.",1
"whoever says yes 2 u, theyre just playing.",0
i don't think you should worry about it.,1
drop her like a hot tater!!!!!!!!!!,1
as long as ur both single and have open feelings for one another.,1
Tell him he ain't got it like that.,1
Hey man do what you want!,1
i guess we never know until we ask him?,0
You are gonna be in big trouble.,0
if thats so try the phone book.,0
hey i guess it depends on your age but go for it,0
"i'd say when your'e ready,but i perfer 18 and up",0
sure i'll go for ya domepeice7@yahoo.com,1
Don't waste your time with her.,0
then you just have to be nice and show special interest in her.,0
the hard truth is you can't.,1
How can I get her in the mood??,1
"if you already told him no and he keeps on asking, that's probably all that he cares about.",0
"their spouse has an obligation to them, not the one theya re cheating with right?",1
You gotta to make your move.,1
"No,it means that love is an even stronger one!",0
What if u and him get back together he break up with u again?,1
and i dont want to hurt her feeling and our chances of dating.,0
"Love your ex, but only make Love to your current boyfriend / baby daddy.",1
I DON'T KNOW WHAT TO DO.,0
if you act fake we'll know.,0
"), there have been years of infidelity in one form or another, e.g.",0
no i like my girl th way she is smart funny ...,1
I killed my cousin because he refused to smile ;),1
wELL IF YOU ASK MY TRUE THOUGHTS nnnnnnnnnnnnnnnnnnnnnnnoOOOOOOOOOOOOOOOOOOO!,1
work 55 hrs a week to occupy my mind.,0
And when your around her just think of the thing you like most about her!,0
i personally think that women have a much higher sex drive than men.,1
I do a majority of the housework...not because I have to but because I just do.,0
Keep them and don't look back.,1
"Try asking him if he has seen, or wants to see  a certain movie that is playing.",1
Any way if you truly love him you should trust him no matter what.,1
I found one that is pretty cool.,0
also be nice and respectful to her husband so he won't mind when you call.,0
"They really don't, it's just how they communicate.",0
"I mean, what if you would send for one and he would turn out to be a real jerk?",1
"yes , a guy and girl can be friends",0
"I noticed girls do check out, just like guys.",0
most girls think that it is the guys job to make the first move.,0
Its just a gig so no.,0
shy because it not comfortable but if it is a girl talk you will be surprise...,0
"do him a favor, go out with him to  applebees and say you need to go to the restroom.",0
how should i approach her next time i ask her?,1
cause we generally are not homo !,1
"You give me power, you give me reason So will you love me?",0
trust Good listener always got your back always be there for you,1
(Make it special: Timing is everything as well as how romantic you are!),1
most of them will have their own chat there that they use.,0
yes i would i love my b-f to death    he is my baby   i would die 4 him anyday,1
At least 1 a week if not more.,0
IT IS TO ENJOY LIFE WITH THE ONE YOU MOST LOVE.,1
NO she is too dang young!,1
i know we cant be graphic but go to an adult shop.,1
i like to have sex more than my wife does.,1
its because my friend is showing me some signs buth then hes courting someone..,1
I SAY IT'S THEIR DAY AND THEY CAN DO WHAT THEY WANT.,0
Start by just talking  say you know?,1
If he's that affectionate otherwise i doubt he'd mind.,1
try harder and you will find the right person,0
":)   Anyways, you ask what Love is Blind really means.",1
I know its the good ol' USA.,1
"Movies, mall...why don't you ask them.",1
"when you get the chance and when youre ready, ask her out.",1
Women: do u or would u and why?,1
he's not a friend if he dates her.,1
"Toothpicks can't say the same, lol!",0
Or at least the ones I've asked do.,0
Pick up lines are jokes and not used in real life.,0
"And ofcors, most important thing is brain...",1
It's not good sex if she doesn't orgasm.,1
"Don't need a woman for life, but a woman to keep me company",1
I love a fuzzy faced man!,0
take him out and show him different places and new ppl !,0
Do you really want me to answer that,1
"CALL THE FAMILY TOGETHER,HAVE A GREAT DINNER.THEN HAVE HER FAVORITE DESERT MADE OR BOUGHT,PUT THE RING IN THE DESERT.",1
U HAVE BEEN TOGETHER FOR TO LONG.,0
Can he take an ED med like Viagra?,1
if you really love the person you can't just forget them.,1
"if you live with your parents, SO WHAT?!",0
I say Chicken .. or rooster for that matter!,1
Bottom line...suck it up and take what life throws at you.,1
yeah espessilly if she is with her friends hanging out having fun.,1
have your friend flirt and ask if he has a girlfriend and what does he think of you.,0
If my wife looked as trollish as his wife does I sure as hell would be cheating!,1
"Stick with this guy, he sounds nice.",1
"Ouch, that right there spells trouble to begin with.",0
I know Leo is a good match,0
i use myspace and xanga check out my myspace n xanga!,1
Girl if it was me he'll be missing for doing something stupid.,1
there is this other guy that loves me and is going to ask me out.,1
"theres still a little spark, but not so bright anymore.",0
i let a guy know and leave the rest up to him.,1
It would probably bother me if he didnt.,1
NOW FAST FORWARDING TO THIS CHRISTMAS BREAK.,1
... and send him a wink.,0
"However, that does not mean you dont have a chance with them.",1
THAT COULD BE JUST WHAT SHE'S LOOKING FOR.,0
"WHATEVER YOU DO, DO NOT CALL HIM EVERY FIVE MINUTES OR A BILLION TIMES IN ONE DAY.",0
If you dont love her anymore then tell her and dont hurt her.,0
but it mite not happen all the time... remember its all in the mind.,1
"i have been there, homeschool takes away all social life!",1
"Harder, softer.... every woman is different so you'd have to ask her exactly what she wants you to do.",1
first tell them then go for the kiss if they like u,1
my friend mack the wise says it depends if she is a prostitute,1
ask if he want to go out and then go from there but no sex on first date,0
becoz you cannot rise in love,0
"no, that implies that ya want to have coffee with her.",1
But feel free to pick up the tab once in a while.,0
"I fhe is good looking, what's the difference if he has hearing aids?",1
it sounds like you love the person but feel that they dont love you.,0
my kids dad left me for another woman.,1
that's the best thing to do it.,0
they might not be the crazy one look inwards,0
Don't assume every guy is like that.,0
u are the man in the relationhip so make it known especially if u want her back.,0
i think that im in true love but not sure,1
"Not all men are like children, perhaps just your.",0
your boyfriend may be stupid but not all guys are stupid.,1
When was this golden age anyway?,0
Girl this is something that I want you to remember...  Guys would LIE no matter what you do... Why?,1
"Well, you COULD try asking your wife.",0
"KEEP THE ROMANCE IN THE RELATIONSHIP, FAMILY RESPONSIBILITIES, OR NOT.",1
you have to recreate your self first!,0
Maybe you're not doing it right.,1
YOU'RE 15 THATS A LITTLE TOO OLD FOR SPANKING IN MY BOOK.,1
i will be making love to my boyfriend.,0
because we are just like that,1
but i want to be with him.,0
bt if u r satisfied thn all i wuld say is greed is really bad,1
Because you will just have problems.,1
"its the flesh demanding and the satan insisting, if u r married go for it.",1
"Their shape, softness, the nipple EVERYTHING!",0
no problem that i can see.,1
"Now that I know this, it is killing me inside.",0
"Its a safer way to see things instead of maybe getting your girl pregnant or worse, don't you think?",1
it has set me free in a way i never knew.,1
not sure what u mean by Will I get him ???,0
i guse it's in the way they act around you.,0
that seems like he is either a pleaser or you are a bully.,1
I don't have a problem with gay women...I know they like me.,1
"just because you cheated on him doesn't mean he has to get mad at you,does he?",1
"like if ur not the talkitive type how do u get them to notice,talk,or like you.",0
Not wrong if you're a dude.,1
"i think a kiss is harmless, so any age.",1
If he love's you he will not have sex   5.,1
He'd want to move in & live there for free!,0
"and for the lady: take care of your man -- he won't admit it, but he's a big baby.",0
has  he got a computer and no so computer savy?,0
well firstly: FIND OUT IF HE WANTS TO HAVE A RELATIONSHIP WITH YOU!!!,1
why would you want to defeat it?,1
but y r u trying to change who someone is that isnt you place to do so,1
I should have did/ said this- no REGRETS!,1
"That is why, girls always cheat on boys.",1
do what u like and what u want to do.see how easy it was.,0
I Would have just bit the bullet and said HELL YEAH I'LL BE YOUR GIRLFRIEND!,0
"no, some guys love them because the cute and perky and dont get in the way",1
even the virgins go down on guys,0
"eye contact, and time spending w/ u",0
It may be a slow process cuz love doesnt just HAPPEN!!,1
"he then asked me, can i come with you?",0
Yeah he's going to want to sleep cause he works alot.,1
how would you feel if he did that to you.,0
I don't think it's bad or good...,0
i think true love is a kind of respect and care for the person u love,0
If your parents do not mind and you enjoy it then forget everyone else.,0
LIKE WHAT KIND OF LOOKS & PERSONALITY!,1
talk to her in a serious way¡¡¡,0
You need to go somewhere you can talk and just hang out and have fun.,1
also mabey find her a guy.,0
"i wanted for them to like me so much, but it just wasnt so.",0
i am not intrested in you i like beautifull girls.,0
"if you have to ask, then i would say no.",1
so better get a good grip on it and use it more often!,1
I don't have a problem with it.,1
afraid 2 say that only time will heal your heart.,0
Save your it for the I told you so stage or you could snap a few pics!,1
no why should u suffer .,1
most any guy will jump at being with you.,1
i call my fiance Bubba and Baby.,0
if you can lie about something little then you lie about the big stuff more.,1
i agree with both answers above me,1
So i make that I keep my mouth shut.,1
If u wanna discuss it more deep then chat with me on yahoo pickut2001@yahoo.com  seeya'roun;-D,1
"for a real bf, you should be 18.......but can be younger if just a buddy",0
"You're gonna do what you're gonna do anyways, right?",1
"Girl show him u got balls just like him, KICK HIS ASS TO THE CURB AND FIND SOMEONE BETTER!",1
just be yourself your sure to find friends!,0
Its been my experience that most men set there sights to high.,0
You should take this as a very good thing!!!,0
"If it takes a 15, or 30 mins thats ok. Let her take her time.",1
It's her job and she treats it as such,1
"i think when a girl is too shy, it might put the guy off",1
cos they dont....money and diamonds probably!!!,1
I just think he's cute but he might not like me after all!,1
dont tease her and carry her books,0
"I'm a blonde, and I have tons of fun:-)",1
flirting is the best sport ever,1
I think you have a lot of money and the sisters know it!,0
Then you should GET ON WITH YOUR LIFE!,0
Not if you're on here all the time!,0
try bein friends wit her again,1
"That aside, you should leave him anyway!!!!",0
I told my best friend and she got mad and we didn't hang out for 2 months.,1
"jenny do whatever your heart tells you, just be carefull and think about it",0
"if she just wants the attention, shell answer right then.",0
if you dont like it as much as u do with chris.,1
comes up with notheing even though has two accounts with them.,0
if she says 'yes'-that kinda sucks.,0
probably girls always want wat they cant have,1
is there a baby already pending?,1
"She is so hot, i had a huge crush on her like forever",0
"should i go 4 it, or walk away",0
"ummm...when you walk together, walk close to her.",1
"unless you are famous, forget it.",0
pleasuring yourself by playing with your genitals until you get off,0
"At an early age , well 16, I decided that I wanted adventure in my life.",0
its all pink in the middle,0
Just catch her eye and smile.,0
It must have been pretty bad.,1
Don't try to force yourself to like someone.,1
too macho...but only coz some men try to conform,0
It didn't for me but i always used tampons so i don't know if thats why or not.,1
One of them probaly likes u and if they don't they are just too much into your life.,0
But by purposely hiding this was UNFRIENDLY!,0
"so if you like someone take a chance and get to know them, talk, have fun.",0
"If you don't like them, then tell them that!",0
either you are gay or you are straight - true you can be both (bi).,1
when she gives you head after you DEMAND it,0
guys who enjoy watching creepy hardcore p0rno movies.,0
if you want the relationship to go anywhere you shouldn't be talking to other people.,0
If u love her than you shouldn't have a problem making her feel special.,0
don't say anything just keep reading in do time u will find something.,0
Life is to short to waste on some one that doesn't want you.,0
Some guys have lots of trouble going from 'seeing someone' to actually being boyfriend and girlfriend.,0
LIFE DOES NOT REVOLVE AROUND RELATIONSHIPS!!!!,1
So there is only the girl who wants things differently.,0
"REALIZE SHE ADMIRES YOU THATS WHY SHE DOES THAT, ITS A COMPLIMENT, ENJOY IT.",0
only one man is worthy of the pleasure of deflowering you and it aint your boyfriend!,0
do u even talk to her,0
If you enjoy books...look in the bookstore.,1
you tell him that is yucky and ignor him forever,0
"Well i still talk to this guy, and he still thinks im someone im not.",1
they probably cheating or don't trust you.,0
so that u can enjoy the best,0
"also, does he confide in you as much as he always does, if he does that sort of thing?",1
if it wasn't love then it wouldn't hurt.,0
the craziest song was chicken head um that was the only loud thing we had,0
so that way you won't feeel that yopu have to do everything.,1
"but of course regardless of what you decide, be nice about it.",1
bY NOT CALLING HER FAT......INSTEAD CALL HER BIG BONE!!!!!!!!!!!!!!,0
Send me a line on messenger if you like.,0
"yes, even if a relationship didn't go well, that doesn't mean it all has to be over!",1
and make it very clear thats what you want once you've got him on hooked.,0
"preferably long, no longer than shoulder length though",0
my ex broke up with me a year ago.. .,0
O yea .. Wat's ur b/f name ?,0
Im not alone on this planet!,0
why does it drive us men crazy?,1
"Women get implants, men get implants, everyone wants a huge SUV or huge home",1
no if u like or loves him tell him and before that u have to know him,0
"Then again, maybe you are just 'seeing' things?",0
If He was love u  are Start talk her.,0
"He will like anything u give him, if he really loves u !!",0
"heck, like a guy with good teeth.",1
"Like you said, lying ACTUALLY MAKES IT WORSE.",1
if there is no love you're not a couple; just 2 people having sex or dating.,1
i will try to talk to her and ask to be her friend,1
so u had sex with him???,1
i wish u all the best!!,0
u can't wait for a formal invite forever ;),1
i feel that from 1 year please answer to me what i do because i love him so mutch,1
You don't have much trust for him?,1
then i bought little hershy kisses and i taped one of the little poems to each of the kisses.,1
"usually, after i go up a grade or don't have that teacher anymore it goes away.",0
he may not be like the lasted guy as much as you think =),0
because guys are just interested in looks.,1
sounds like to me you take your vouls to heart.,1
"I'll tell you, what's her number?",0
SOME PEOPLE HAVE TO HELP THERE OWN SELF AND YOU CAN NOT HELP HIM.,1
