text,label
"Now you see me, now you don't.",0
no sorry honey this isnt for chat,0
"And Mortal Kombat 2 went straight to video, didnt it?",1
You ugly you show is ugly mh mh mh.,1
She was on an airplane with him and had sex w/ him.,1
i thought she was still in it.,0
try www.gohastings.com they have everything in their stores even lots of used cd's good and cheap!!,0
"But, I don't think Preparation H is going to help your ring of fire...",0
And they have to have more than me and I am a chick!,1
a walk to remember is awesome!,0
I don't know exactly what your trying to ask.,1
"I seen it already in a different state, they're stuff come out b4 north carolina's!",1
I like lil'kim and tina but Ashanti got both of them.,0
"and your 3 good lines are ...       the woman whirled to face him,hand flying to her dagger.",0
their ok i'm not to crazy about them but if their rock i'll listen!!,1
Go to a concert...and buy a backstage pass!,0
Artist: Youngbloodz  Song: 85 / billy dee (interlude) Album: Against Da Grain,0
Has mama who looks like GHANNA!!!,0
"ive heard, they are ok... why do you ask that??",0
"I dont know, i dont live in oregon",0
and possibly iron man as well.,1
the receptionist asked what is your name?,1
"but I guess you meant one singer, not a band.",1
man what the hell is wrong with you?,1
runescape.com (my kids love it) & funbrain.com  (educational),0
i don't know because he calls it Bumf**k and you got a purdy mouth,0
wish i was the camster coz just is lush!,0
turkish singer and holly valance sing the remake from his song(kiss kiss),1
"she can't sing, she can't act, and she's a horrible person!",1
"limewire,ares,kazza,bear share and rapid share.....now where are my 10 points??!",0
(yeah it is) Plenty of sunshine heading my way.,1
Make some money and then dissappear.,0
Don't even bother watching Metalskin - it sucked even worse than bad.,0
U say it just the way it looks.,0
i don't know the rest of the answers,0
(this one and the freezing your cat one) to just stir up a debate.,1
I guess blake... but neither really... to childish.,1
because you are grown up now and you have your different songs,0
I really want Ace to go home.,0
The movie is okay but it could have been better,0
HOW STUPID R U Green Day DID U IDIOT!!,1
because it just doesn't draw my eye.,1
if you go to the orchid restaurant in white bear township!,0
it was down to Jerry and Drew...and of course Drew won!,1
I LOVE the Silent Hill series!,1
Agree with moracidthan (me probably ) and bettyboop Kurt Cobain WOW gimme a break!Very overated,0
Wayne Static of Static X and the DJ from Linkin Park,1
Movie name - Autumn to Ashes,0
i love all of them                                        hope you pick me,0
"No, i did a quick search and didnt find any thing either sorry",1
WHY DO THEY PUT IT OUT THERE LIKE THEY HAVE DONE ALL THOSE THINGS IF THEY HAVEN'T ?,0
Yo' Mum so ugli that even Prince Charming refuses to kiss her - he&#39,0
I am a Sheep(Virgo) and my guy is a Dragon (Pisces)!,1
she came out of my butt,0
note: stephen king dosn't write under his own name anymore.,1
HE IS TOO STUCK UP AND THINKS HE IS GOD'S GIFT TO THE RAP INDUSTRY AND TO WOMEN.,0
Major Pain or something like that?,1
dumb question.....no he was a carpenter and he went around and witnessed to people,0
I killed someone... Man that was so funny,0
"oh and sakura freaks out through the whole episode, like usual.",1
it sounds like u got wasted one night n decided to put that question on here.,0
"I did, I liked it at first but then i tried other magazines and I hated it.",1
LOL... juz trying to be funny!!,1
i usually make people laugh by mistake.,1
A ton of girls loved him.,0
shakira definitely has some awesome hits.,1
Like Sasuke...sometimes dark but not wanting revenge.,1
"I don't think, so but boy is it a good show.",1
you alwasy have to pay entry fee's now.,1
Nope I don't pay for it.,1
"it's kinda wierd though, cuz didn't they date not too long ago?",0
"'They are pretty much a sure thing,' said Eric Frankel, president of  Warner Bros.",1
because you touch yourself at night.,1
Johnny Carson liked David and that says a lot.,0
If you havent listened to it then i wld definately reccommend it.,1
"i like it, too...what is the question?",1
by pretty ricky album blue stars title shorty will you be mine,0
"Everybody's broke, Bobby's got a buck.",1
Yo momma so ugly that if ugly were bricks she'd have her own projects.,0
go on yahoo answers for fun,1
It's called Hey Baby by No Doubt.,1
i don't know...i've never seen it!,1
"But, I wish they hadn't been quite so gruesome!",0
PLEASE let me know when he comes to n. c. !,0
They might have ton's of 7th heaven vids.,1
"Songs now are about pimpin', sex, booties, money, gettin' shot, gangstas, grillz, her hips, and stupid stuff.",0
lie down talk to each other a bit and probably cuddle or have sex and then doze off,1
Its called Baby's got her blue jeans on.,0
"Use whatever else, but not yahoo anwsers.... anyways, yes they are pretty damn lame..",0
Let me guess... - U'r boyfriend just left you?,1
I used to love that game!,0
"i don't think so, last i heard about him he lived the plunging-into-the-lake accident.",1
And satan goes to the third man.,0
The Academy Is...  and Fall Out Boy,1
"Full House, Full Tilt, Full Speed, Full Blast, Full Bloom, and Full Scoop.",1
"hmm, would be nice it we got some incentives.",1
C'mon baby can you bleed like me?,1
